<نماد>,<وضعیت در سود بودن نماد>,<حجم>,<تعداد>,<ارزش>,<ارزش مفهومی>,<موقعیت های باز>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<حجم خرید>,<قیمت خرید>,<قیمت فروش>,<حجم فروش>,<اندازه قرارداد>,<قیمت اعمال>,<روز باقی مانده تا سررسید>,<نماد پایه>,<پایانی دارایی پایه>,<درصد تغییر>,<آخرین معامله دارایی پایه>,<درصد تغییر>,<تاریخ شروع>,<تاریخ پایان>,<حجم فروش>,<قیمت فروش>,<قیمت خرید>,<حجم خرید>,<درصد تغییر>,<قیمت آخرین معامله>>,<درصد تغییر>,<قیمت پایانی>,<درصد تغییر>,<موقعیت های باز>,<ارزش مفهومی>,<ارزش>,<تعداد>,<حجم>,<وضعیت در سود بودن نماد>,<نماد>
ضشنا6045,ITM,7702,192,25969606000.00,95479440000.00,244148,-0.28,3372,-0.68,3400,0.15,30,3400,3430,5,1000,9260,9,شپنا,12880,2.55,12920,2.87,20260610,20260909,1000,14,9,1350,8.33,13,8.33,13,-1.32,209393,238107870000.00,233052000.00,48,18581,OTM,طشنا6045
ضشنا8063,OTM,124,19,273949000.00,1597120000.00,4369,1.63,2209,12.42,2200,11.96,1,2006,2200,33,1000,13260,72,شپنا,12880,2.55,12920,2.87,20260712,20261111,0,0,111,22,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طشنا8063
ضسپا6040,ITM,266,4,80378000.00,185136000.00,24764,0.15,302,3.07,300,2.39,561,293,315,499,1000,400,16,خساپا,696,1.90,695,1.76,20260620,20260916,0,0,0,0,0,2,0,2,0,1400,0.00,0.00,0,0,OTM,طسپا6040
ضسپا6048,OTM,171928,358,3585596000.00,116529888000.00,534490,25.27,21,16.67,19,5.56,6000,18,19,2000,1000,800,16,خساپا,696,1.90,695,1.76,20260620,20260916,0,0,11,111,0,1,0,1,0,0,0.00,0.00,0,0,ITM,طسپا6048
ضراز8002,ITM,0,0,0.00,0.00,27,0,11681,0,11681,0,100,1,0,0,1000,13000,58,هم تراز,25121,-1.02,25645,1.05,20260627,20261028,0,0,1,100,0,1,0,1,0,0,0.00,0.00,0,0,OTM,طراز8002
ضذوب6013,ITM,145,5,37800000.00,83375000.00,2143,-0.09,261,8.75,270,12.50,50,261,319,20,1000,340,9,ذوب,575,2.86,575,2.86,20260613,20260909,100,1,0,0,0,1,0,1,0,100,0.00,0.00,0,0,OTM,طذوب6013
ضهمن9033,ITM,0,0,0.00,0.00,0,0,1,0,1,0,100,1,0,0,1000,2600,107,خبهمن,2722,-2.82,2717,-3.00,20260822,20261216,2,350,4,444,34900,350,34900,350,0,4292,11682824000.00,1500200000.00,10,4292,OTM,طهمن9033
ضملت6021,ITM,2091872,5250,627175958000.00,3188841610000.00,7339550,-5.72,300,1.35,293,-1.01,300,292,293,2348,1000,1254,9,وبملت,1555,1.50,1542,0.65,20260613,20260909,88491,1,0,0,-66.67,1,-66.67,1,15.59,3644889,2897949315000.00,2510439000.00,3765,1866633,OTM,طملت6021
ضملت6022,ITM,2716007,6472,578447062000.00,4138492550000.00,7476978,-4.54,213,2.90,204,-1.45,2068,204,206,3726,1000,1354,9,وبملت,1555,1.50,1542,0.65,20260613,20260909,19310,4,3,151737,-50,4,-50,4,-3.07,1777408,1508110530000.00,4204772000.00,2268,1006164,OTM,طملت6022
ضملت7039,ITM,8758,25,5194245000.00,13622780000.00,76499,-1.23,593,-7.92,639,-0.78,1,600,640,858,1000,954,44,وبملت,1555,1.50,1542,0.65,20260718,20261014,1000,10,1,7800,0,1,0,1,0,867,0.00,0.00,0,0,OTM,طملت7039
